Name,Formula,Annot..Source..Predicted.Compositions,Annot..Source..mzCloud.Search,Annot..Source..MassList.Search,Annot..DeltaMass..ppm.,Calc..MW,m.z,RT..min.,X..mzCloud.Results,mzCloud.Best.Match,mzCloud.Best.Match.Confidence,mzCloud.Best.Sim..Match,Mass.List.Match..metabolites.list_230424_ForCD,MS2,Area..N_FA1_000m_ldl01.raw..F167.,Area..N_FA1_000m_ldl02.raw..F206.,Area..N_FA1_000m_ldl03.raw..F245.,Area..N_FA1_000m_ldl04.raw..F284.,Area..N_FA1_000m_ldl05.raw..F323.,Area..N_FA1_000m_ldl06.raw..F362.,Area..N_FA1_000m_ldl07.raw..F401.,Area..N_FA1_000m_ldl08.raw..F439.,Area..N_FA1_000m_ldl09.raw..F477.,Area..N_FA1_000m_ldl10.raw..F519.,Area..N_FA1_000m_ldl11.raw..F559.,Area..N_FA1_000m_ldl12.raw..F597.,Area..N_FA1_000m_ldl13.raw..F635.,Area..N_FA1_000m_ldl14.raw..F675.,Area..N_FA1_000m_ldl15.raw..F715.,Area..N_FA1_000m_ldl16.raw..F754.,Area..N_FA1_000m_ldl17.raw..F795.,Area..N_FA1_000m_ldl18.raw..F836.,Area..N_FA1_000m_ldl19.raw..F877.,Area..N_FA1_000m_ldl20.raw..F918.
2-Hydroxydecanedioic acid,C10 H18 O5,Full match,No results,Full match,-2.38,218.1149,217.10763,11.985,0,NA,NA,NA,Single match found,DDA for preferred ion,967286.2339,71557.0156,38812.75566,773904.5501,877686.9123,821349.2451,59140.4334,91268.15525,125983.4799,22228.4902,170493.3027,114259.6923,72036.75911,89617.29927,94227.7455,410622.6091,127478.4183,118848.1797,827504.4113,173518.7761
hydroxyvalerylglycine,C7 H13 N O4,Full match,No results,Full match,8.73,175.08599,174.07871,3.809,0,NA,NA,NA,Single match found,DDA for preferred ion,1288159.613,14611215.05,3196816.77,1226298.299,34035763.36,16111719.55,35831147.54,632012.0516,94940.54832,3389088.506,81890.77194,81399.5699,79879.79684,114903.6884,68744.99711,118355.3158,86128.1402,96468.7828,47983.14108,45859.76728
2-Hydroxyadipic acid,C6 H10 O5,Full match,No results,Full match,-0.15,162.0528,161.04552,14.119,0,NA,NA,NA,Multiple matches found,DDA for preferred ion,1138301.034,968452.7226,1886228.395,1460444.077,189111.6365,3722835.212,358885.5403,4789220.642,4047772.693,1917590.213,13478263,14866076.8,7335847.525,14098641.05,10655870.35,8841793.194,12825693.21,2810445.39,13840215.62,3349383.616
"[Similar to: N-[(1S,4S)-4-{3,5-Dimethyl-1-[4-(trifluoromethyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]-2-phenoxyacetamide; ΔMass: -185.1779 Da]",C7 H10 O9 S,Full match,Invalid mass,No results,-1.47,270.00416,268.99688,8.395,1,NA,NA,57.3,No matches found,DDA for preferred ion,21768.73856,37402.0655,38377.75293,42951.94438,58045.89704,57206.58154,147897.4852,49631.08252,26162.99304,36699.09096,10596.25376,15286.24215,10790.64709,26280.04267,9648.507538,20686.45199,17951.21127,6822.164145,53009.17607,26959.09749
Succinylcarnitine,C11 H19 N O6,Full match,No results,Full match,-0.29,261.12116,260.11389,3.38,0,NA,NA,NA,Single match found,DDA for preferred ion,74446.4276,154460.0944,117027.0532,72883.73715,15986551.78,3892854.096,490609.5713,64956.20544,86358.25054,166629.7795,5649.00264,67029.21994,46487.31035,42274.21597,11463.88778,115548.7554,9292.384593,40928.6845,3711.965316,56290.86706
1-Isothiocyanato-8-(methylthio)octane,C10 H19 N S2,No match,No results,Full match,3.03,217.09655,216.08927,3.106,0,NA,NA,NA,Single match found,DDA for preferred ion,641731.6949,3418661.967,482112.2425,1430019.268,34725870.77,17475048.04,41649739.3,4175520.96,370202.1007,3000121.562,8347.832858,10539.54727,9046.307145,10335.73575,9148.900694,12069.48072,8735.933785,7511.240232,10502.33991,9154.265402
"[4-methyl-2-(3-pyridylimino)-1,3-thiazolan-4-yl]methanol",C10 H13 N3 O S,No match,Invalid mass,No results,318151.52,294.05052,293.04324,5.694,1,50.8,7.5,NA,No matches found,DDA for preferred ion,8622308.783,2821297.769,1136402.135,8634227.735,1334870.291,2701682.684,186216.0283,6271107.581,21534.47753,35785.16747,36039.08076,44862.24287,35901.22108,39171.47225,35218.55636,35711.05107,36921.16093,26478.40177,26794.8392,85648.85382
Paraxanthine,C7 H8 N4 O2,Not the top hit,Invalid mass,Full match,2.22,180.06513,179.05785,4.066,1,NA,NA,54.1,Multiple matches found,DDA for preferred ion,583977.7715,22879106.59,439760.2756,4379794.773,43568450.95,32276097.22,23354801.45,2953598.8,1062532.522,1094834.008,27067.4375,44602.28554,29825.97889,42350.9907,31017.86711,53840.80062,34160.7787,23331.87218,31332.15968,26010.1261
Monuron,C9 H11 Cl N2 O,No match,No results,Full match,-7.49,198.05451,197.04723,8.125,0,NA,NA,NA,Multiple matches found,DDA for preferred ion,402654.4912,80172.50488,356352.5274,451521.183,4115347.543,962499.5644,5592642.86,282959.5693,71858.04636,1376605.045,50864.31164,130809.425,93625.19279,136995.9794,67188.2426,117336.3422,169614.4058,19042.21843,74626.85252,38281.18674
[Similar to: 4-{[2-(4-fluorophenyl)-2-oxoethyl]amino}-4-oxobutanoic acid; ΔMass: -135.0468 Da],C5 H2 N4,Full match,Invalid mass,No results,2.71,118.02827,117.02099,4.951,1,NA,NA,66.9,No matches found,DDA for preferred ion,152663.5955,10338977.53,4031078.685,2520706.881,16001212.14,1620599.055,47394708.24,1870367.679,390799.3472,1850527.526,51203.95337,27770.30406,26149.90766,29458.85024,41817.85434,41423.64191,50399.82211,34804.08802,30115.91217,22343.33261
2-Hydroxydecanedioic acid,C10 H18 O5,Full match,No results,Full match,-0.68,218.11528,217.108,7.915,0,NA,NA,NA,Single match found,DDA for preferred ion,154549.1207,191339.0451,207763.3719,169439.9658,507453.1174,273178.9565,757352.5064,200486.9526,171495.8263,330929.7258,479013.3193,391747.3356,279936.5386,373216.8748,305093.4419,331984.4124,456712.4396,207748.2639,207603.3335,90284.39086
"[Similar to: N-Benzyl-N-(2-cyanoethyl)-N'-(2,3-dihydro-1-benzofuran-5-yl)urea; ΔMass: -142.0779 Da]",C8 H9 N3 O2,Full match,Invalid mass,No results,1.72,179.06978,178.06251,1.165,3,NA,NA,61.5,No matches found,DDA for preferred ion,2275846.491,3854292.589,6971581.641,6666824.746,6411259.94,7817617.976,9183096.34,6686621.359,3800113.456,21404678.82,27764.93387,21929.94555,9272.971693,53235.72141,9153.733222,38295.62859,13373.26564,26256.01966,13301.05713,7826.496019
[Similar to: Isocitric acid; ΔMass: -0.9459 Da],C7 H13 N O5,Full match,Invalid mass,No results,8.94,191.08108,190.0738,12.581,1,NA,NA,85.6,No matches found,DDA for preferred ion,3722079.339,6082047.707,7772448.533,2140998.325,4057930.36,2509006.787,76633876.29,5506076.871,622393.8409,16172389.85,82151.49573,47476.20203,51309.16175,66488.92788,42838.96443,54308.98401,56024.35736,39877.08065,136168.8359,35570.1328
[Similar to: 2-({2-[4-(ethoxycarbonyl)anilino]-2-oxoethyl}thio)acetic acid; ΔMass: -60.0029 Da],C11 H11 N O5,Full match,Invalid mass,No results,1.8,237.06415,236.05687,2.347,1,NA,NA,56,No matches found,DDA for preferred ion,113938.052,89535.28485,270336.6092,175280.2861,38425.40232,405816.1654,440014.0118,575677.4069,356355.0714,519328.9275,116825.7935,176202.9283,85117.40625,70790.32489,83925.46321,560458.9192,1522613.896,82246.7987,68193.16266,17716.72022
"[Similar to: N1-{4-[(2,4-diiodoanilino)sulfonyl]phenyl}acetamide; ΔMass: -413.8068 Da]",C5 H8 N2 O2,Full match,Invalid mass,No results,3.12,128.05898,127.0517,8.557,19,NA,NA,63.7,No matches found,DDA for preferred ion,6972495.727,6532839.285,4852366.309,5166048.669,14502999.55,11130831.48,76546526.09,4350801.654,2713939.116,12912232.92,545310.0524,63738.43279,222418.2582,575880.1635,41807.17453,368636.4018,418825.5816,275621.0651,191558.8767,97421.89591
[Similar to: 3-Aminosalicylic acid; ΔMass: 0.0116 Da],C6 H7 N3 O2,Full match,Invalid mass,No results,2.24,153.05417,152.04689,2.705,3,NA,NA,58.2,No matches found,DDA for preferred ion,3515967.763,10830673.67,2482639.799,2846089.9,16794367.88,6794610.667,51147830.04,4252350.731,1093108.554,11882420.24,79662.55631,58960.76282,43670.12158,55200.33434,45128.09578,539513.4838,49570.71132,30070.49583,47308.04261,27522.26199
Porphobilinogen,C10 H14 N2 O4,Not the top hit,No results,Full match,7.82,226.09712,225.08985,2.764,0,NA,NA,NA,Single match found,DDA for preferred ion,444045.0425,10786752.88,1617207.111,2172558.193,34448709.47,22064748.65,41853370.92,957697.4088,899934.442,4587755.707,29866.98583,39513.34092,29437.13201,31705.00399,33336.2914,44746.71856,35848.97057,25775.65911,37312.16985,21856.38142
gentianadine  isomer,C8 H7 N O2,Full match,Invalid mass,Full match,2.95,149.04812,148.04084,8.347,1,NA,NA,53.1,Single match found,DDA for preferred ion,1838235.593,2196817.447,1301849.755,1958708.34,797070.4566,1549173.103,472380.2853,2146532.212,1124135.476,1535958.341,193780.0986,697950.4513,533703.8768,279385.0063,1142646.214,231511.4185,311930.9057,71835.7416,162262.4495,410501.0477
[Similar to: 4-(2-thienyl)benzoic acid; ΔMass: 69.8658 Da],NA,No results,Invalid mass,No results,NA,273.89033,272.88305,19.476,1,NA,NA,61.2,No matches found,DDA for preferred ion,2204257.5,2535187.573,2572008.78,1745854.578,1022000.851,1914453.958,935625.4845,2853023.365,11074001.12,7879327.045,8058753.523,21465291.56,8936717.457,12640803.24,11150087.55,11853604.22,10891217.33,14818915.85,2108599.393,16062722.73
[Similar to: 4-(2-thienyl)benzoic acid; ΔMass: 69.8654 Da],C4 H4 O6 P2 S2,Full match,Invalid mass,No results,-9.44,273.88987,272.88259,19.741,1,NA,NA,62.7,No matches found,DDA for preferred ion,2242597.149,2535187.573,2483698.738,903373.8936,1022000.851,1914453.958,935625.4845,2853023.365,11074001.12,7879327.045,9004027.371,21465291.56,9887118.556,13981196.89,12433561.5,13714150.84,12754543.56,14929351.22,2108599.393,18901349.75
indole-quinone isomer,C8 H5 N O2,Not the top hit,No results,Full match,1.89,147.03231,146.02503,3.926,0,NA,NA,NA,Single match found,DDA for preferred ion,198823.7376,208459.9043,582095.2229,275798.8187,30667737.61,2297175.852,24102285.91,797273.5816,15822825.48,5474700.975,190131.8629,188991.4028,126558.1847,424694.6923,165190.7469,274794.2917,199970.0742,223978.7091,120143.2888,155562.3105
5-Sulfosalicylic acid,C7 H6 O6 S,Full match,No results,Full match,-0.57,217.98838,216.98111,3.761,0,NA,NA,NA,Single match found,DDA for preferred ion,46763.52387,44579.26216,48248.39177,45786.27839,103806.7774,62197.51065,131451.1576,57356.48344,51845.45262,75606.75233,44719.18703,44450.94977,43621.02701,62746.99101,37540.49828,64631.86727,145545.6849,274338.6484,26202.7944,24340.60855
Vanillic acid 4-O-sulfate,C8 H8 O7 S,Full match,No results,Full match,1.77,247.99951,246.99224,3.076,0,NA,NA,NA,Single match found,DDA for preferred ion,19479.56822,33879.27248,25914.31124,26750.65259,58293.91367,46655.84541,84014.51345,86520.3997,86191.47911,127620.0251,9353.222998,12265.10769,35709.83276,22240.55091,10017.95695,15258.60577,9546.370345,15317.24692,11777.87056,9639.779996
L-Glutamic acid,C5 H9 N O4,Full match,Full match,Full match,2.78,147.05357,146.04629,14.721,1,50.3,57.9,NA,Multiple matches found,DDA for preferred ion,2210664.365,1270563.708,911332.3182,1823539.449,402976.9568,1164322.443,1034739.992,2268786.37,1298396.043,2638548.173,644637.1456,601640.5252,640578.8535,652712.9946,501738.912,571192.6813,348484.7543,584757.5637,843858.5218,384403.2994
gentianadine  isomer,C8 H7 N O2,Full match,Invalid mass,Full match,2.31,149.04802,148.04075,8.324,1,NA,NA,52.5,Single match found,DDA for preferred ion,1789242.2,2196817.447,1660764.598,397758.7907,48276.81529,346166.1374,42615.41239,357882.3048,2149244.377,1943520.956,71183.24638,675317.5249,406026.3545,771916.0681,133011.8237,1044386.653,28021.06475,103822.0882,77131.87689,115608.4474
[Similar to: Arachidonic acid; ΔMass: 0.5313 Da],NA,No results,Invalid mass,No results,NA,304.77158,303.7643,2.205,4,NA,NA,83.8,No matches found,DDA for preferred ion,175884.0937,191959.6785,227936.3871,316177.6492,68573.64077,213551.4773,194945.2222,412992.1686,159829.0245,313261.6658,213787.5883,152666.2182,161729.1687,116094.756,117094.5604,100114.2323,116829.8307,102268.3951,217771.0291,303897.0642
Suberic acid,C8 H14 O4,Full match,No results,Full match,-1.31,174.08898,173.0817,12.759,0,NA,NA,NA,Single match found,DDA for preferred ion,227324.628,19008.0758,20412.02728,19690117.88,12904.71849,13847.99883,93286.89816,19144.72122,46456.59922,29655.24213,860280.0633,956000.9993,695688.314,818141.6126,545652.0244,366259.8394,517261.6713,476255.1159,1116546.563,216650.9167
Nelarabine,C11 H15 N5 O5,Full match,Partial match,Full match,0.07,297.10734,296.10006,9.259,1,78.3,32.3,NA,Single match found,DDA for preferred ion,46480.09661,32072.33841,38701.05175,29937.706,7713.870656,29117.5929,36631.16488,36241.74683,23587.38182,93375.41992,43718.80413,41060.65887,45063.73178,30901.4463,19132.03667,29762.24743,37816.12726,29929.46742,5295.102348,12323.76598
Dodecyl sulfate,C12 H26 O4 S,Full match,Full match,No results,-0.88,266.15495,265.14767,1.904,2,86.9,9.3,NA,No matches found,DDA for preferred ion,956171.8637,2255586.526,1236129.234,1211055.004,1015822.129,1488742.622,1317384.291,1073044.469,3968272.705,7203200.249,8376772.475,5584392.968,4012970.215,8000543.822,2889853.974,2650142.603,2363803.771,4923430.439,7083161.206,4778994.27
[Similar to: Baliospermin; ΔMass: -406.3066 Da],C8 H4 N4,Full match,Invalid mass,No results,2.33,156.04396,155.03668,12.088,1,NA,NA,51.4,No matches found,DDA for preferred ion,1277569.876,4273508.203,3141485.325,5001708.556,3022056.776,1704330.661,74554050.48,4180054.228,375170.8083,11434540.34,49431.15642,35789.13547,36581.56765,34457.52105,30778.38828,32347.54542,39205.14053,24649.19328,45304.53828,31861.44575
L-Dopa,C9 H11 N O4,Not the top hit,No results,Full match,8.51,197.07048,196.06321,12.113,0,NA,NA,NA,Single match found,DDA for preferred ion,304000.5929,4813163.681,6739018.399,5840231.869,3502772.025,2123111.899,74513775.63,4600719.631,268302.1835,12465875.39,36817.1056,26656.31306,27246.52905,25664.50561,22924.22945,24092.96246,29200.60755,18359.10826,32403.62853,23730.90775
L-Dopa,C9 H11 N O4,Not the top hit,Invalid mass,Full match,8.87,197.07056,196.06328,13.317,1,NA,NA,51.3,Single match found,DDA for preferred ion,2368996.509,2676087.052,6739018.399,2817638.458,1344071.923,901521.1277,74513775.63,2212166.904,161897.4206,4806861.413,70134.61753,38578.61632,32520.62213,50196.9395,28480.3489,29475.3224,37994.27938,35094.60658,39335.04764,21086.76563
"[Similar to: N-[(1S,4S)-4-{3,5-Dimethyl-1-[4-(trifluoromethyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]-2-phenoxyacetamide; ΔMass: -184.9662 Da]",C15 H30 N2 S,Invalid mass,Invalid mass,No results,10.82,270.21589,269.20862,7.826,2,NA,NA,57.5,No matches found,DDA for preferred ion,57928.79747,66707.94678,71037.09758,56391.73733,127234.6015,96391.66218,199526.918,66273.96673,62903.92211,47988.01831,187865.2155,155465.0783,111092.9212,143693.4366,121076.4478,131748.1396,177583.3559,76933.1871,82387.46142,33318.16813
D-Ribose,C5 H10 O5,Full match,No results,Full match,-1.29,150.05263,149.04535,10.103,0,NA,NA,NA,Multiple matches found,DDA for preferred ion,24685.99535,141106.4943,29822.65102,30173.286,28833.7217,22515.15725,116885.249,26614.67871,198308.4524,56735.18354,28358.16204,117516.7315,18703.57523,237906.4436,118842.7266,304415.5687,116240.9174,72865.76128,540624.0353,70660.14549
Glutarylcarnitine,C12 H21 N O6,Full match,No results,Full match,0.68,275.13707,274.1298,13.226,0,NA,NA,NA,Single match found,DDA for preferred ion,8528.12146,9270.559467,19796.47688,28697.82422,25091.95729,6153.827873,74720.04191,34826.10354,6403.815881,18322.39114,14889.12403,11875.13149,4611.3015,5662.735513,4544.75758,4339.39158,8678.418507,11756.38079,6935.495109,3535.267786
"[Similar to: 1-(5-{5-[(2S)-1-(1-Acetyl-4-piperidinyl)-2-pyrrolidinyl]-1,2,4-oxadiazol-3-yl}-2-pyridinyl)-4-piperidinecarboxamide; ΔMass: -205.1689 Da]",C7 H15 N6 O3 P,Full match,Invalid mass,No results,4.89,262.09561,261.08833,7.961,2,NA,NA,54.6,No matches found,DDA for preferred ion,93838.4975,114423.3127,126078.0407,102879.8594,199666.2114,68049.39652,845334.4802,121730.8408,104128.1284,189109.6631,290845.3311,228414.5811,159104.9362,216295.3474,168762.8926,194098.6395,259251.8185,87632.73587,116105.6866,54214.57632
β-D-Glucopyranuronic acid,C6 H10 O7,Full match,Full match,No results,0.03,194.04266,193.03538,9.006,2,82.3,49.2,NA,No matches found,DDA for preferred ion,119650.273,102065.8253,20413.42516,297515.2068,17874.54706,127702.4599,144716.2346,198873.5846,60310.97576,42159.07526,41794.13875,1017062.022,139124.4378,153358.1141,219116.4231,226793.8262,5637.234698,331197.266,11289.5475,46154.01597
5-Hydroxyindoleacetic acid,C10 H9 N O3,Full match,Partial match,Full match,0.7,191.05838,190.0511,5.513,1,84.2,9.2,NA,Single match found,DDA for preferred ion,172175.7638,66744.14644,163867.7944,30858.44596,250360.6902,146954.704,263927.4939,47748.33389,119286.4438,51142.67828,306683.2993,62645.53937,243815.5567,54249.65596,288801.4055,86922.21756,348862.0822,327663.2512,31281.13793,15687.25323
Equol,C15 H14 O3,Not the top hit,No results,Full match,-9.09,242.09209,241.08482,2.356,0,NA,NA,NA,Single match found,DDA for preferred ion,35285.85088,55096.34064,48282.15722,197792.3073,100877.6273,136242.2865,89125.03434,57468.80213,34467.81983,53253.50263,66543.58113,124781.1269,236717.324,36129.07623,239101.2413,35441.20614,34704.71166,169558.7166,29097.34179,286456.8382
[Similar to: 2-Hydroxymyristic acid; ΔMass: -0.1086 Da],C8 H8 N10,Full match,Invalid mass,No results,7.79,244.09524,243.08796,2.691,1,NA,NA,50.3,No matches found,DDA for preferred ion,14263.5062,44412.28157,206376.1082,18293.34107,68430.02996,136242.2865,74413.96809,22405.99514,18671.75772,27210.66409,66543.58113,16379.71013,13178.30014,14193.5722,14299.67278,16720.04286,14051.86421,9515.892284,13849.21431,286456.8382
D-Tryptophan,C11 H12 N2 O2,Full match,Partial match,Full match,1.08,204.0901,203.08282,9.7,2,82.5,9.1,NA,Single match found,DDA for preferred ion,18281583.16,19534801.05,22801984.56,22942128.66,4439778.674,21246248.42,14500686.12,34318296.3,24595591.55,25114353.35,12984748.36,3054433.873,3002673.992,2736911.064,2367517.698,4657850.38,5262838.925,3158579.468,17311859.69,9919712.093
[Similar to: 4-{[2-(4-fluorophenyl)-2-oxoethyl]amino}-4-oxobutanoic acid; ΔMass: -110.0264 Da],C8 H5 N3,Full match,Invalid mass,No results,2.22,143.04866,142.04139,1.094,1,NA,NA,56.1,No matches found,DDA for preferred ion,2065651.078,3519026.282,9251518.683,6850333.062,6511096.095,8749892.127,15079859.68,6454624.75,3516473.887,8074665.093,1258466.72,1250783.734,1003403.964,944803.6945,939334.7521,906344.0325,835787.8253,729116.7771,728922.9312,333253.6537
[Similar to: 3-Aminosalicylic acid; ΔMass: 0.0116 Da],C6 H7 N3 O2,Full match,Invalid mass,No results,2.52,153.05421,152.04694,3.037,3,NA,NA,58.2,No matches found,DDA for preferred ion,3605959.811,14971097.55,1764385.771,1924266.443,10211930.5,6794610.667,56141057.62,1462225.829,1127954.482,11882420.24,79662.55631,58960.76282,22046.76001,55200.33434,54102.40583,38319.7251,52252.36383,30679.84187,19921.02847,18382.35683
[Similar to: 1-Methyladenine; ΔMass: -0.1163 Da],C3 H4 N P S2,Invalid mass,Invalid mass,No results,10.25,148.9538,147.94653,14.104,1,NA,NA,50.1,No matches found,DDA for preferred ion,2593166.939,8583623.291,3763298.006,6331648.008,6517950.534,8915144.684,2649564.01,9199109.959,24371897.49,25863523.25,7210522.348,7992528.342,3278590.33,10695710.75,10531465.44,18293792.22,9783460.119,8089968.664,36475643.23,12563361.56
"1-Phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine",C11 H9 N5,Not the top hit,Full match,No results,1.53,211.08612,210.07884,1.362,1,52.9,58.8,NA,No matches found,DDA for preferred ion,779124.4934,2150898.616,5230647.161,3709099.806,19658490.09,12564277.87,21031804.34,5067669.54,1234836.441,4013954.091,9835.479353,11351.74735,15991.56696,10259.24486,8332.164833,13458.82099,8395.067334,5886.976231,12556.70194,6261.341035
1-Isomangostin hydrate,C24 H28 O7,No match,No results,Full match,6.96,428.18649,427.17921,2.163,0,NA,NA,NA,Single match found,DDA for preferred ion,135445.5975,147825.1546,220417.1421,243483.4764,52807.49127,164452.6621,150124.2752,318038.8279,123081.839,241237.9231,164634.4875,117565.8736,124545.1104,89402.76096,90172.69473,77096.40891,89968.83054,71188.22932,62011.58321,85889.58156
"[Similar to: thiophene-2-carbaldehyde 2-[5-(3,4-dihydro-2H-1,5-benzodioxepin-7-yl)-1,3-thiazol-2-yl]hydrazone; ΔMass: -260.0439 Da]",C4 H3 N O2,Full match,Invalid mass,No results,2.74,97.01664,96.00937,3.4,11,NA,NA,53.5,No matches found,DDA for preferred ion,12644191.97,14836578.7,7578650.775,10214289.75,10589644.77,14972079.26,46478493.9,7939647.429,7955378.387,8955880.535,3108353.755,2897626.366,4458173.824,2226724.15,2575700.23,3222137.242,1784363.832,1416350.233,1313349.051,820388.0633
2-Hydroxyadipic acid,C6 H10 O5,Full match,No results,Full match,-0.94,162.05267,161.04539,14.053,0,NA,NA,NA,Multiple matches found,DDA for preferred ion,1763830.002,968452.7226,1886228.395,1578940.733,189111.6365,3722835.212,391951.6976,5083690.624,4446989.911,1917590.213,13478263,14866076.8,7335847.525,14098641.05,10680977.52,10653652.67,12825693.21,4233552.698,17112169.88,4168142.741
2-Hydroxyadipic acid,C6 H10 O5,Full match,No results,Full match,-1.34,162.05261,161.04533,14.045,0,NA,NA,NA,Multiple matches found,DDA for preferred ion,1680859.712,968452.7226,962489.4157,1339838.784,189111.6365,3722835.212,364897.5726,4909263.306,4045891.886,1917590.213,13478263,14866076.8,7335847.525,14098641.05,10680977.52,8845351.638,12825693.21,2814440.85,13862252.52,3353391.945
[Similar to: Pseudouridine; ΔMass: 57.9942 Da],C11 H15 N2 O6 P,Invalid mass,Invalid mass,No results,-10.16,302.0637,301.05643,10.166,1,NA,NA,60.5,No matches found,DDA for preferred ion,12648.96717,13642.57244,15280.96106,15460.62447,14774.23916,11536.64176,57552.08921,13637.21383,11632.65627,26684.04484,14530.56502,8598.925347,9583.608261,7390.025996,8248.751231,7719.955805,8021.191597,6600.352716,40220.78005,7095.860361
Arabinonic acid,C5 H10 O6,Full match,No match,Full match,1.25,166.04794,165.04067,11.98,2,54.4,43.8,NA,Single match found,DDA for preferred ion,203142.8554,536507.6375,2663081.126,2654134.205,1404590.373,143666.986,27300561.56,1897214.215,392135.4112,6537977.984,14084.99091,10284.1215,10237.88913,25013.24009,11763.48553,89659.49095,21668.16467,18831.62588,203438.3005,44104.52867
Perfluoro-1-butanesulfonic acid (PFBS),C4 H F9 O3 S,No match,Full match,No results,-1.04,299.94996,298.94268,1.85,1,93.1,50.2,NA,No matches found,DDA for preferred ion,68890.50406,17589367.59,3313452.504,17326770.29,26556363.37,11733024.13,19917672.94,13400726.59,21029962.45,437747.5281,2431327.879,41322650.29,5445100.342,33923329.8,27322862.96,35464136.07,18822337.8,20092451.3,1510173.363,31984798.65
Perfluoro-1-butanesulfonic acid (PFBS),C4 H F9 O3 S,No match,Full match,No results,-4.05,299.94905,298.94178,1.835,1,90.6,41.8,NA,No matches found,DDA for preferred ion,68890.50406,17698925.14,3366229.153,17704764.49,25520286.29,11387347.77,20152193.54,13772373.23,20706158.5,437747.5281,2341418.858,41328134.86,5445100.342,33923329.8,27323875.85,35462684.9,18817757.69,20050495.39,1506577.292,31984798.65
N1-Methyl-4-pyridone-3-carboxamide,C7 H8 N2 O2,Full match,No results,Full match,2.07,152.05889,151.05162,4.943,0,NA,NA,NA,Multiple matches found,DDA for preferred ion,1214623.778,3339592.482,873181.6878,1155794.45,12091952.97,6012157.74,72183112.82,3402703.113,330529.6599,1259463.088,256352.054,19549.53003,19670.16512,71813.24574,38094.74439,23889.68834,38697.72219,26723.08895,104591.9768,67552.25218
1-Methylinosine,C11 H14 N4 O5,Full match,Partial match,Full match,-1.1,282.09611,281.08883,6.256,7,77.4,31.8,59.2,Single match found,DDA for preferred ion,1093843.303,645478.0512,1020647.64,495737.9019,384072.0122,783386.5507,1461485.736,569910.8749,958423.1637,1140634.862,1058618.387,1070103.527,695045.8605,1235428.926,918076.5702,1206225.633,802386.7447,26233.75832,243256.4124,205398.4974
1-Isothiocyanato-8-(methylthio)octane,C10 H19 N S2,No match,No results,Full match,3.32,217.09661,216.08934,2.427,0,NA,NA,NA,Single match found,DDA for preferred ion,353659.7556,3506604.987,1598511.271,1966530.459,34725870.77,17475048.04,18269605.6,2419561.937,769775.1607,6291122.446,54615.8695,39118.49678,46689.07291,42849.91712,56391.79837,42034.08735,36847.65077,30432.95813,33551.53426,25872.24504
2-o-ethyl ascorbic acid  isomer,C8 H12 O6,Full match,No results,Full match,8.75,204.06517,203.0579,3.024,0,NA,NA,NA,Single match found,DDA for preferred ion,416442.1971,2621934.968,543509.6304,185334.993,16220551.67,4607001.806,20816914.49,1920802.445,206089.1409,4480813.454,24622.52583,39882.00866,21020.58211,31652.78975,26625.40338,36536.11358,30382.2661,21413.16858,18993.79385,17526.74048
2-o-ethyl ascorbic acid  isomer,C8 H12 O6,Not the top hit,No results,Full match,8.94,204.06521,203.05794,4.315,0,NA,NA,NA,Single match found,DDA for preferred ion,896004.5432,8226387.337,1593356.857,2686593.825,20567761.38,7695937.782,12882098.82,1872896.69,484801.7354,874390.7858,22522.8106,34505.82422,27779.74318,36637.82754,24658.70742,33454.7541,34596.39688,31444.23064,48903.91306,23071.53947
2-o-ethyl ascorbic acid  isomer,C8 H12 O6,Not the top hit,No results,Full match,8.27,204.06507,203.0578,3.794,0,NA,NA,NA,Single match found,DDA for preferred ion,129016.0072,8226387.337,1593356.857,250376.2982,4690861.972,1211800.301,20816914.49,1872896.69,140585.127,294080.0404,40945.35659,40699.75575,39939.86977,57451.80297,34372.4739,59177.61544,43064.03921,48234.3568,23991.55333,22929.86719
Citramalic acid,C5 H8 O5,Full match,No results,Full match,1.25,148.03736,147.03008,14.85,0,NA,NA,NA,Single match found,DDA for preferred ion,932712.2809,925412.2809,969061.6572,429621.7822,237334.0784,119608.2207,83734.18007,332862.5522,1213121.385,1288595.292,1505644.588,1662914.086,895631.6405,1156791.497,1071251.531,1248151.398,1679524.179,797588.345,11584305.1,1974964.547
Glycine,C2 H5 N O2,Full match,Full match,Full match,1.23,75.03212,74.02484,14.512,2,87.7,9.4,NA,Single match found,DDA for preferred ion,15829908.55,9607144.523,20255866.07,11965024.59,3682984.994,11936209.08,19408464.25,17437979.37,26619378.78,36070740.09,19502645.45,23662237.52,10969030.12,15044921.85,14577285.14,10233463.01,7289196.407,10756821.65,5678585.028,6191812.108
